name,location,suburb,spectrum,price,atmosphere,desc,oneLiner,tags,image,rating,reviews,lat,lng,signature
Zest Specialty Coffee,Others,Richmond,1,3,modern|unique,과일 주스 같은 커피. 실험적인 가공 방식으로 '호주가 가장 사랑하는 커피' 선정.,"수박, 라임 등 커피에서 상상하기 힘든 강렬한 과일 향.",Acidity ⭐⭐⭐⭐⭐|Experimental,zest-specialty-coffee.jpg,4.8,350,-37.816371,145.012307,90+ flight
ONA Coffee,Brunswick,Brunswick,1,5,modern|lively,세계 바리스타 챔피언 사샤 세스틱의 카페. 라즈베리 캔디 블렌드 유명.,커피 덕후들의 성지. 최고가의 게이샤 원두와 극한의 산미.,Acidity ⭐⭐⭐⭐⭐|Champion,ona-coffee.jpg,4.8,1500,-37.764896,144.961662,Raspberry Candy
Proud Mary,Fitzroy/Collingwood,Collingwood,1,5,lively|unique,"세계 100대 카페 상위권. 재즈 같은 맛, 망고 노트 등 화려한 필터 커피.",멜번 스페셜티 커피의 자존심. 비싸지만 실패 없는 화려한 맛.,Acidity ⭐⭐⭐⭐⭐|Top 100,proud-mary.jpg,4.4,3500,-37.8023383,144.9851717,스페셜티 커피
ACOFFEE,Fitzroy/Collingwood,CBD,1,4,modern|unique,로스팅을 아주 약하게 하여 원두 본연의 깨끗함을 극대화. 순백색 인테리어.,차(Tea)처럼 맑고 깨끗한 커피를 선호한다면 최고의 선택.,Acidity ⭐⭐⭐⭐⭐|Pure,acoffee.jpg,4.6,500,-37.8132786,144.9685245,스페셜티 커피
INI Studio,Fitzroy/Collingwood,Carlton,1,3,modern|unique,시트러스 롱블랙 등 산미를 즐기는 메뉴. 미니멀리즘의 극치.,인스타그래머블한 공간에서 즐기는 상큼하고 감각적인 커피.,Acidity ⭐⭐⭐⭐⭐|Minimal,ini-studio.jpg,4.7,800,-37.8045325,144.9612071,Citrus long black
Market Lane Coffee,CBD,CBD,2,4,lively|cozy,"제철 과일 같은 커피. 쓴맛 배제, 단맛과 산미의 조화.",산미 입문자에게 가장 추천하는 곳. 부담스럽지 않고 우아한 꽃향기.,Acidity ⭐⭐⭐⭐|Elegant,market-lane-coffee.jpg,4.7,1200,-37.8132979,144.973372,스페셜티 커피
Good Measure,Others,Carlton,2,3,cozy|lively,"몽블랑 커피'로 입소문 난 곳. 낮엔 카페, 밤엔 칵테일 바로 변신. 따뜻한 우드 인테리어.","SNS에서 유명한 몽블랑 아이스 필터, 오렌지 제스트와 크림의 조화.",Acidity ⭐⭐⭐⭐|Cafe & Bar,good-measure.jpg,4.8,600,-37.8011848,144.9666528,Mont Blanc
Small Batch Roasting Co.,North Melbourne,North Melbourne,2,3,unique|cozy,Candyman 블렌드가 유명. 달콤하면서도 잘 익은 과일의 산미.,완벽한 페이스트리와 함께 즐기는 쥬시(Juicy)한 커피.,Acidity ⭐⭐⭐⭐|Juicy,small-batch-roasting-co.jpg,4.8,500,-37.8043369,144.9545001,Batch Filter
Vacation Coffee,CBD,CBD,2,3,lively|modern,"휴가 같은 커피. 파스텔 톤 분위기, 밝고 경쾌한 과일 맛.",도심 속에서 즐기는 산뜻하고 트로피컬한 커피 한 잔.,Acidity ⭐⭐⭐⭐|Tropical,vacation-coffee.jpg,4.6,600,-37.8158579,144.9720281,Almond flat white
Seven Seeds,Others,Carlton,3,4,lively|unique,멜번 커피의 기준점. 산미와 단맛의 훌륭한 밸런스.,멜번에 왔다면 무조건 가봐야 할 교과서 같은 곳.,Balance ⭐⭐⭐⭐⭐|Standard,seven-seeds.jpg,4.4,5000,-37.8029711,144.9590027,Filter Coffee
Disciple Roasters,Brunswick,Brunswick,2.5,3,cozy|unique,"소량 생산 집중, 펀치감 있는 향미. 개성이 뚜렷함.",숨겨진 고수. 뻔한 커피 맛에 질렸다면 추천.,Acidity ⭐⭐⭐⭐|Unique,disciple-roasters.jpg,4.9,200,-37.775525,144.9601403,스페셜티 커피
Tone Coffee,North Melbourne,North Melbourne,3,3,modern|lively,2015 세계 라떼아트 챔피언 Caleb 'Tiger' Cha의 로스터리. 'Tiger Bomb' 아이스드링크로 유명.,챔피언의 손맛. 깔끔하고 선명한 특색 있는 커피.,Balance ⭐⭐⭐⭐|Champion,tone-coffee.jpg,4.8,300,-37.802845,144.945725,Tiger Bomb
Patricia Coffee Brewers,CBD,CBD,3,3,unique|lively,"스탠딩 바. 블랙, 화이트, 필터뿐. 너무 시지도 쓰지도 않은 황금비율.","서서 마셔야 하지만 그럴 가치가 있는, 직장인들의 영혼의 안식처.",Balance ⭐⭐⭐⭐⭐|Standing Bar,patricia-coffee-brewers.jpg,4.8,4000,-37.8146934,144.9582383,Filter Coffee
Bench Coffee Co.,CBD,CBD,3,3,modern|unique,홍콩/일본 스타일의 미니멀리즘. 깔끔하고 군더더기 없는 맛.,도시적인 세련됨 그 자체. 깔끔한 뒷맛을 원할 때.,Balance ⭐⭐⭐⭐⭐|Clean,bench-coffee-co.jpg,4.6,1000,-37.8151891,144.964186,스페셜티 커피
Core Roasters,Brunswick,Brunswick East,3,3,cozy,지속 가능성에 진심. 'Bloody Good'을 지향하며 선명한 맛.,착한 소비를 하면서 맛도 놓치지 않는 곳.,Balance ⭐⭐⭐|Ethical,core-roasters.jpg,4.7,300,-37.7782319,144.9771245,Milk Coffee
St Ali,South Melbourne,South Melbourne,3,4,lively|unique,힙하고 거친 매력. 사과 잼 같은 산미와 퍼지 같은 단맛.,힙스터들의 성지. 묵직하면서도 엣지 있는 커피.,Balance ⭐⭐⭐|Hipster,st-ali.jpg,4.1,6000,-37.8312475,144.960354,스페셜티 커피
Axil Coffee Roasters,CBD,CBD,3,3,modern|lively,챔피언 바리스타 배출. 대중성을 고려해 산미를 튀지 않게 잡음.,믿고 마시는 데일리 커피. 실패 확률 0%.,Balance ⭐⭐⭐|Reliable,axil-coffee-roasters.jpg,4.4,2000,-37.8106637,144.9617933,Deconstructed Macchiato
Code Black Coffee,Brunswick,South Melbourne,3,3,modern|unique,다크 호스. 복합적인 맛. 우유와 섞였을 때 캐릭터가 강함.,시크한 분위기에서 즐기는 진하고 깊은 풍미.,Balance ⭐⭐⭐|Dark Mode,code-black-coffee.jpg,4.5,1500,-37.8330718,144.9567603,Velvet Morning
